id,title,what,when_time,when_day,who,how_time,where,parent_id,image,detail
1,1日目タイムテーブル,"1日目（25日）青空劇場,C棟前ステージ,講堂（B202）タイムテーブル,ステージイベント",10:00,25,丸調本部,12時間,"青空劇場,C棟前ステージ,講堂（B202）",,./data/img/02_time01.png,
2,Shannon Over Race,"Shannon Over Race,ステージイベント",11:30,25,Shannon Over Race,30分,青空劇場,1,,
3,器楽部調布祭LIVE！！,"器楽部,ライブ,演奏会,ステージイベント",12:00,25,器楽部,2時間,青空劇場,1,,
4,ビンゴ,"ビンゴ,ステージイベント",14:30,25,丸調本部,2時間,青空劇場,1,,
5,軽音楽部,"軽音楽部,軽音部,ライブ,演奏会,ステージイベント",17:00,25,軽音楽部,2時間,青空劇場,1,,
6,ジョナサン,"アカペラライブ演奏会,ステージイベント",10:30,25,ジョナサン,30分,C棟前ステージ,1,./data/img/28_jonasan.png,
7,マカレナダンス,"マカレナダンス,ステージイベント",11:00,25,マカレナダンス,30分,C棟前ステージ,1,,
8,Street Dance同好会のC棟前ステージにおけるダンス公演,"ストリートダンス,Street Dance,ステージイベント",12:00,25,Street Dance同好会,1時間,C棟前ステージ,1,./data/img/26_dance.png,
9,電気通信大学管弦楽部,"電気通信大学管弦楽部,演奏会,ステージイベント",13:30,25,管弦楽部,30分,C棟前ステージ,1,,
10,Passageジャグリングステージ,"ジャグリングステージ,バルーン,ステージイベント",14:30,25,Passage,1時間,C棟前ステージ,1,,
11,クイズ,"クイズ,ステージイベント",15:30,25,丸調本部,30分,C棟前ステージ,1,,
12,マカレナダンス,"マカレナダンス,ステージイベント",17:00,25,丸調本部,30分,C棟前ステージ,1,,
13,マカレナダンス,"マカレナダンス,ステージイベント",18:00,25,丸調本部,30分,C棟前ステージ,1,,
14,電通大芸人ライブ,"電通大芸人ライブ,ステージイベント",15:00,25,"調布祭講堂企画局,シソンヌ,ピスタチオ,鬼越トマホーク",1時間,講堂（B202）,1,./data/img/05_live_geinin.png,
15,2日目タイムテーブル,"2日目（26日）青空劇場,C棟前ステージ,講堂（B202）タイムテーブル,ステージイベント",10:00,26,丸調本部,12時間,"青空劇場,C棟前ステージ,講堂（B202）",,./data/img/03_time02.png,
16,DIF電通大アイドルフェスタ,"DIF電通大アイドルフェスタ,ライブ,ステージイベント",9:30,26,"調布祭講堂企画局,北風インパクト,Ange☆Reve,FES☆TIVE,君と僕、ときどきメランコリック,ぷちぱすぽ☆",2時間30分,青空劇場,15,./data/img/06_live_idol.png,
