id,title,what,when_time,when_day,who,how_time,where,parent_id,image,detail
1,第3回Oh!!辛チャレンジ,料理スタンプラリー,8:00,25,調布市観光協会事務局,12時間,調布市内の飲食店11店舗,,./data/img_chofu/oh_kara.png,
2,第5回せんがわピアノオーディション受賞コンサート,ピアノコンサート,13:30,25,文化振興課せんがわ劇場,3時間,せんがわ劇場,,./data/img_chofu/sengawa_piano.png,
3,中学校連合美術展,美術展,9:00,25,教育委員会教育部 指導室,8時間,調布市文化会館たづくり2階南ギャラリー,,./data/img_chofu/chugaku_bijutu.png,
4,女性のための起業セミナー,セミナー,10:00,25,池成姫,2時間,調布市市民プラザあくろす　3階 あくろすホール,,./data/img_chofu/woman_seminar.png,
5,それはおしゃれなコンサート2017,コンサート,16:00,26,加藤登紀子,3時間,調布市グリーンホール　大ホール,,./data/img_chofu/osyarenakonsato.png,
6,親子で参加キッズフリマ,フリーマーケット,10:00,26,NPOタイムマシーンカンパニー,5時間,調布市役所前庭,,,
7,食事なんでも相談会(平成28年度),相談会,12:00,26,調布市訳書健康促進課,5時間,文化会館たづくり西館　保健センター１階,,./data/img_chofu/eat.png,
8,健康教室「転ばないための「ロコモ」体操にチャレンジ」,顕教教室,10:30,26,高松光子,2時間,北部公民館　学習室,,./data/img_chofu/taisou.png,
9,生涯学習サークル体験　西馬音内(にしもない)盆踊り同好会,サークル体験,13:30,26,西馬音内盆踊り同好会,3時間,調布ヶ丘地域福祉センター,,./data/img_chofu/bonodori.png,
10,H28年度わくわく育児教室　コアラクラス,育児教室,13:30,25,福祉健康部,3時間,文化会館たづくり西館保健センター2階,,./data/img_chofu/ikuji.png,
